127.0.0.1 - - [06/May/2022:00:22:10 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:13 +0900] "GET /community/ HTTP/1.1" 200 5992
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:13 +0900] "GET /community/resources/css/main-style.css HTTP/1.1" 200 6336
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:13 +0900] "GET /community/resources/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:18 +0900] "POST /community/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:18 +0900] "GET /community HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:18 +0900] "GET /community/ HTTP/1.1" 200 4675
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:18 +0900] "GET /community/resources/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:20 +0900] "GET /community/member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:20 +0900] "GET /community HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:20 +0900] "GET /community/ HTTP/1.1" 200 5992
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:22 +0900] "POST /community/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:22 +0900] "GET /community HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:22 +0900] "GET /community/ HTTP/1.1" 200 6366
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:28 +0900] "POST /community/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:28 +0900] "GET /community HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:28 +0900] "GET /community/ HTTP/1.1" 200 4675
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:29 +0900] "GET /community/member/myPage/info HTTP/1.1" 200 5332
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:29 +0900] "GET /community/resources/css/myPage-style.css HTTP/1.1" 200 2256
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:49 +0900] "POST /community/member/myPage/info HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2022:00:22:49 +0900] "GET /community/member/myPage/info HTTP/1.1" 200 5617
0:0:0:0:0:0:0:1 - - [06/May/2022:00:23:31 +0900] "POST /community/member/myPage/info HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2022:00:23:31 +0900] "GET /community/member/myPage/info HTTP/1.1" 200 5629
0:0:0:0:0:0:0:1 - - [06/May/2022:00:24:02 +0900] "POST /community/member/myPage/info HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2022:00:24:02 +0900] "GET /community/member/myPage/info HTTP/1.1" 200 5624
